id.establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad;superficie (m2)
92;Ta Ta S.A.;Ta - Ta - Hiper Canelones;José Batlle y Ordoñes 960;NULL;Interior;8;Ta - Ta;-34,51714088;-56,28118885;Canelones;Canelones;3;3320;NULL
93;Ta Ta S.A.;Ta - Ta -Hiper  Carmelo;Zorrilla de San Martin 278;NULL;Interior;8;Ta - Ta;-33,9993896;-58,2883458;Carmelo;Colonia;5;5321;NULL
94;Ta Ta S.A.;Ta - Ta - Paso Molino;Avda. Agraciada 4214;14;Paso Molino;8;Ta - Ta;-34,85626027;-56,21987448;Montevideo;Montevideo;1;1020;NULL
95;Superstar Ltda.;Ta - Ta -Hiper Shopping;Luis A. de Herrera 925;NULL;Interior;8;Ta - Ta;-32,31817282;-58,08311064;Paysandú;Paysandú;11;11120;NULL
96;Ta Ta S.A.;Ta - Ta - Hiper Paysandú;Rep. Argentina 1680;NULL;Interior;8;Ta - Ta;-32,3186309;-58,07066348;Paysandú;Paysandú;11;11120;100
97;Ta Ta S.A.;Ta - Ta - Rocha;Gral Artigas 221;NULL;Interior;8;Ta - Ta;-34,4837741;-54,3337119;Rocha;Rocha;14;14320;NULL
98;Ta Ta S.A.;Ta - Ta - Hiper Tacuarembó 2;Joaquín Suarez 259;NULL;Interior;8;Ta - Ta;-31,71252253;-55,97836308;Tacuarembó;Tacuarembó;18;18220;NULL
99;Ta Ta S.A.;Ta - Ta - Hiper Trinidad;Pte. Berro y J. Batlle y Ordoñez (Pte. Berro 474);NULL;Interior;8;Ta - Ta;-33,51881855;-56,89555368;Trinidad;Flores;7;7320;NULL
100;Ta Ta S.A.;Ta - Ta - Hiper Artigas;Luis Alberto de Herrera 539;NULL;Interior;9;Ta - Ta;-30,40545839;-56,46335985;Artigas;Artigas;2;2220;NULL
101;Ta Ta S.A.;Ta - Ta - Hiper Salto ;19 de Abril y  Soca;NULL;Interior;9;Ta - Ta;-31,38540957;-57,96345507;Salto;Salto;15;15120;NULL
102;Ta Ta S.A.;Ta - Ta - San Carlos;Carlos Alberto Cal 738;NULL;Interior;9;Ta - Ta;-34,7929884;-54,9207713;San Carlos;Maldonado;10;10321;NULL
103;Ta Ta S.A.;Ta - Ta - Treinta y Tres;Juan Antonio Lavalleja 1774;NULL;Interior;9;Ta - Ta;-33,225326;-54,3901664;Treinta y Tres;Treinta y Tres;19;19220;NULL
104;Ta Ta S.A.;Ta - Ta - Cordón;Avda. 18 de Julio1593;2;Cordón;10;Ta - Ta;-34,90407047;-56,18199884;Montevideo;Montevideo;1;1020;NULL
105;Superstar Ltda.;Ta - Ta - Hipersuperstar;Bvar. Artigas Esq. Washington (Washington 1673);NULL;Interior;10;Ta - Ta;-32,31509968;-58,07008748;Paysandú;Paysandú;11;11120;NULL
106;Ta Ta S.A.;Ta - Ta - Hiper Rivera;Sarandí 950;NULL;Interior;10;Ta - Ta;-30,9063819;-55,53965908;Rivera;Rivera;13;13220;NULL
107;Polakof  y Cía.  S.A.;El Dorado - Biarritz;Urbanización Biarritz;NULL;Interior;1;El Dorado;-34,8901087;-54,94368781;Maldonado;Maldonado;10;10320;114
108;Polakof  y Cía.  S.A.;El Dorado - Aiguá;Gral. de la Llana y M. Muniz;NULL;Interior;2;El Dorado;-34,20195102;-54,76679261;Aiguá;Maldonado;10;10521;226
109;Polakof  y Cía.  S.A.;El Dorado - Chuy;Arachanes 559;NULL;Interior;2;El Dorado;-33,69322015;-53,45540749;Chuy;Rocha;14;14521;305
110;Polakof  y Cía.  S.A.;El Dorado - La Pedrera;Ruta 10 Y calle Principal;NULL;Interior;2;El Dorado;-34,59084857;-54,12378425;La Pedrera;Rocha;14;14942;NULL
111;Polakof  y Cía.  S.A.;El Dorado - Solanas;Ruta10 Km. 127.500;NULL;Interior;2;El Dorado;-34,88034983;-55,05032954;Maldonado;Maldonado;10;10969;143
112;Polakof  y Cía.  S.A.;El Dorado - Cerro Pelado;Cuchilla de la India Muerta y Tpanbaé;NULL;Interior;2;El Dorado;-34,8828614;-54,97470354;Maldonado;Maldonado;10;10320;190
113;Polakof  y Cía.  S.A.;El Dorado - Lausana;Acuario y Manolo Lima;NULL;Interior;2;El Dorado;-34,88449198;-54,977229;Maldonado;Maldonado;10;10320;119
114;Polakof  y Cía.  S.A.;El Dorado - Camino de los Gauchos;Av. De Los Gauchos y Celedonio Rojas ;NULL;Interior;2;El Dorado;-34,90089817;-54,94392757;Maldonado;Maldonado;10;10320;133
115;Polakof  y Cía.  S.A.;El Dorado - Tobias Polakof;Tobias Polakof 1031 y Joaquin de Viana;NULL;Interior;2;El Dorado;-34,90924328;-54,96376791;Maldonado;Maldonado;10;10320;153
116;Polakof  y Cía.  S.A.;El Dorado - Punta Colorada;Avda. Calle Central entre calles  6 y 7;NULL;Interior;2;El Dorado;-34,90153809;-55,25670274;Piriápolis;Maldonado;10;10523;10
117;Polakof  y Cía.  S.A.;El Dorado - Treinta y Tres Obelisco;Enrique Rodó 1559;NULL;Interior;2;El Dorado;-33,22808828;-54,37859324;Treinta y Tres;Treinta y Tres;19;19220;429
118;Polakof  y Cía.  S.A.;El Dorado - Solís;Avda. Barreiro Pda. 28;NULL;Interior;3;El Dorado;-34,78951211;-55,37694236;Balneario Solís;Maldonado;10;10828;257
119;Polakof  y Cía.  S.A.;El Dorado - Cuchilla Alta;Avda. Agustín Pons S/N entre Rambla 33 y Canelones;NULL;Interior;3;El Dorado;-34,79662349;-55,49485429;Cuchilla Alta;Canelones;3;3935;10
120;Polakof  y Cía.  S.A.;El Dorado - Las Piedras;Gral. Flores 609;NULL;Interior;3;El Dorado;-34,72788381;-56,21585865;Las Piedras;Canelones;3;3221;269
121;Polakof  y Cía.  S.A.;El Dorado - Lascano;25 de Agosto y Rincón;NULL;Interior;3;El Dorado;-33,67438544;-54,20609267;Lascano;Rocha;14;14422;317
122;Polakof  y Cía.  S.A.;El Dorado - Boulevar;Tacuarembó y Bvar. Artigas;NULL;Interior;3;El Dorado;-34,91511706;-54,94480493;Maldonado;Maldonado;10;10320;448
123;Polakof  y Cía.  S.A.;El Dorado - Minas 3;18 de Julio y Claudio Williman;NULL;Interior;3;El Dorado;-34,37489226;-55,24036001;Minas;Lavalleja;9;9220;379
124;Polakof  y Cía.  S.A.;El Dorado - Simón del Pino;Simón del Pino y Misiones;NULL;Interior;3;El Dorado;-34,85924269;-55,277325;Piriápolis;Maldonado;10;10523;214
125;Polakof  y Cía.  S.A.;El Dorado - Treinta y Tres El Arco;Manuel Meléndez 852 esq. Juan Rosas;NULL;Interior;3;El Dorado;-33,22944446;-54,38261002;Treinta y Tres;Treinta y Tres;19;19220;172
126;Polakof  y Cía.  S.A.;El Dorado - Mercado Velazquez;Avda. Batlle y Ordoñez y Mitre;NULL;Interior;4;El Dorado;-34,89853795;-54,95389921;Maldonado;Maldonado;10;10320;369
127;Polakof  y Cía.  S.A.;El Dorado - Minas Avenida;Luis A. de Herrera  515;NULL;Interior;4;El Dorado;-34,37279248;-55,24357249;Minas;Lavalleja;9;9220;455
128;Polakof  y Cía.  S.A.;El Dorado - Gorlero;Calle 29 y Gorlero;NULL;Interior;4;El Dorado;-34,95999947;-54,94127259;Punta del Este;Maldonado;10;10524;202
129;Polakof  y Cía.  S.A.;El Dorado - Parada 2;Av. Francia entre Vaz Ferreira y Lenzina;NULL;Interior;4;El Dorado;-34,9532227;-54,9389274;Punta del Este;Maldonado;10;10524;240
130;Polakof  y Cía.  S.A.;El Dorado - La Barra;Ruta 10 Km. 160.10;NULL;Interior;5;El Dorado;-34,9086191;-54,86736565;Barra de Maldonado;Maldonado;10;10942;266
131;Polakof  y Cía.  S.A.;El Dorado - La Paloma;Solari esq. Sirio;NULL;Interior;5;El Dorado;-34,66434558;-54,15560948;La Paloma;Rocha;14;14722;235
132;Polakof  y Cía.  S.A.;El Dorado - Punta del Este Virazon;Virazon;NULL;Interior;5;El Dorado;-34,90796516;-54,94891351;Punta del Este;Maldonado;10;10524;350
133;Polakof  y Cía.  S.A.;El Dorado - Minas Centro;Morales Arrillaga 757;NULL;Interior;5;El Dorado;-34,37417286;-55,23424515;Minas;Lavalleja;9;9220;582
134;Polakof  y Cía.  S.A.;El Dorado - Mercado Pan de Azúcar;Félix de Lizarza 775;NULL;Interior;5;El Dorado;-34,77995427;-55,22845428;Pan de Azúcar;Maldonado;10;10522;507
135;Polakof  y Cía.  S.A.;El Dorado - San Carlos Avenida;Ceberio y Rincón;NULL;Interior;5;El Dorado;-34,79540196;-54,92222562;San Carlos;Maldonado;10;10321;497
136;Polakof  y Cía.  S.A.;El Dorado - La Balconada;Av. Sagitario Esquina Alfa;NULL;Interior;6;El Dorado;-34,6593147;-54,1697994;La Paloma;Rocha;14;14722;313
137;Polakof  y Cía.  S.A.;El Dorado - Super Eco Lussich;Camino Lussich y Medina;NULL;Interior;6;El Dorado;-34,8991043;-54,96720539;Maldonado;Maldonado;10;10320;982
138;Polakof  y Cía.  S.A.;El Dorado - Piria;Av. Piria y Tucumán;NULL;Interior;6;El Dorado;-34,86899766;-55,27315934;Piriápolis;Maldonado;10;10523;829
139;Polakof  y Cía.  S.A.;El Dorado - Río Branco;José H. Uriarte y Virrey Arredondo;NULL;Interior;6;El Dorado;-32,58116917;-53,37591628;Río Branco;Cerro Largo;4;4522;586
140;Polakof  y Cía.  S.A.;El Dorado - San Carlos Centro;25 de Agosto y  Sarandí;NULL;Interior;6;El Dorado;-34,79101284;-54,91311283;San Carlos;Maldonado;10;10321;533
141;Polakof  y Cía.  S.A.;El Dorado - Treinta y Tres Centro;Basilio Araujo 1067;NULL;Interior;6;El Dorado;-33,23295056;-54,38768007;Treinta y Tres;Treinta y Tres;19;19220;669
142;Polakof  y Cía.  S.A.;El Dorado - Mercado 18;Dodera 882;NULL;Interior;10;El Dorado;-34,9071442;-54,96037308;Maldonado;Maldonado;10;10320;1045
143;Polakof  y Cía.  S.A.;El Dorado - Santa Lucía;Av. Rivera y Dr. Mateo Legnani;NULL;Interior;10;El Dorado;-34,4498343;-56,3982732;Santa Lucía;Canelones;3;3323;744
144;Ta Ta S.A.;Ta - Ta - Tres Cruces;Bvar. Gral. Artigas 1867;2;Tres Cruces;11;Ta - Ta;-34,89641173;-56,16508872;Montevideo;Montevideo;1;1020;NULL
145;Polakof  y Cía.  S.A.;El Dorado - Melo;Luis A. De Herrera y Justino Muniz;NULL;Interior;8;El Dorado;-32,3694805;-54,1697456;Melo;Cerro Largo;4;4220;716
146;Macromercado Mayorista S.A.;Macromercado Mayorista - Camino Maldonado / Punta Rieles;Camino Maldonado 6783;9;Punta de Rieles ;10;Macromercado Mayorista;-34,82459384;-56,10209434;Montevideo;Montevideo;1;1020;972
147;Macromercado Mayorista S.A.;Macromercado Mayorista - Paso de la Arena;Avda. Luis Batlle Berres 6149;18;Paso de la Arena;12;Macromercado Mayorista;-34,84614233;-56,25001131;Montevideo;Montevideo;1;1020;1679
148;Macromercado Mayorista S.A.;Macromercado Mayorista - La Teja;Avda. Dr. Carlos Ma. Ramírez 574;14;La Teja;13;Macromercado Mayorista;-34,86204963;-56,23138236;Montevideo;Montevideo;1;1020;NULL
149;Macromercado Mayorista S.A.;Macromercado Mayorista - Carrasco;Avda. al Parque Roosvelt 2495;NULL;Interior;22;Macromercado Mayorista;-34,87133956;-56,02260557;Ciudad de la Costa;Canelones;3;3831;3704
150;Macromercado Mayorista  S.A.;Macromercado Mayorista - Maldonado;Bvar. Artigas y 3 de febrero;NULL;Interior;22;Macromercado Mayorista;-34,91511706;-54,94480493;Maldonado;Maldonado;10;10320;3435
151;Macromercado Mayorista S.A.;Macromercado Mayorista - Casa Central / San Mart?n;Pugnalini 1847;3;Brazo Oriental;22;Macromercado Mayorista;-34,8667541;-56,18040616;Montevideo;Montevideo;1;1020;3263
152;Henderson y Cia.  S.A.;Tienda Inglesa - Pocitos;Juan Benito Blanco 966;5;Pocitos;5;Tienda Inglesa;-34,91390176;-56,14886398;Montevideo;Montevideo;1;1020;267
153;Henderson y Cia.  S.A.;Tienda Inglesa - Arocena;Dr. Alejandro Schroeder 6436;8;Carrasco;9;Tienda Inglesa;-34,887673;-56,05852061;Montevideo;Montevideo;1;1020;1024
